Sr. No.,Frame Material,Pane Material,Frame E [GPa],Frame K IC [MPa m^[1/2]],Frame alpha [1E-6/K],Frame k [W/m-K],Frame kappa [W m^2/J],Pane E [GPa],Pane K IC [MPa m^[1/2]],Pane alpha [1E-6/K],Pane k [W/m-K],Pane kappa [W m^2/J],Pane Area,Fillet Scale,Pane Depth,Frame Scale,Frame Safety Factor,Pane Safety Factor,Frame Fracture Factor,Pane Fracture Factor
25,C-C,RBSN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.25,0.01,0.95,0.755,0.095,2.751,0.055
26,C-C,RBSN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.5,0.01,0.95,0.733,0.092,1.378,0.052
27,C-C,RBSN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.25,0.01,0.975,0.84,0.096,0.0,0.058
28,C-C,RBSN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.5,0.01,0.975,0.753,0.097,1.918,0.057
29,C-C,RBSN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.25,0.01,0.95,0.735,0.102,1.338,0.074
30,C-C,RBSN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.5,0.01,0.95,0.736,0.101,1.421,0.071
31,C-C,RBSN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.25,0.01,0.975,0.729,0.099,1.275,0.068
32,C-C,RBSN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.5,0.01,0.975,0.723,0.103,1.162,0.071
33,C-C,RBSN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.25,0.025,0.95,0.814,0.106,1.548,0.061
34,C-C,RBSN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.5,0.025,0.95,0.801,0.104,1.469,0.062
