Sr. No.,Frame Material,Pane Material,Frame E [GPa],Frame K IC [MPa m^[1/2]],Frame alpha [1E-6/K],Frame k [W/m-K],Frame kappa [W m^2/J],Pane E [GPa],Pane K IC [MPa m^[1/2]],Pane alpha [1E-6/K],Pane k [W/m-K],Pane kappa [W m^2/J],Pane Area,Fillet Scale,Pane Depth,Frame Scale,Frame Safety Factor,Pane Safety Factor,Frame Fracture Factor,Pane Fracture Factor
117,SiC-SiC,RBSN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.5,0.025,0.975,0.252,0.134,4.643,0.211
118,SiC-SiC,BN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.25,0.01,0.95,0.212,0.08,1.149,5.416
119,SiC-SiC,BN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.5,0.01,0.95,0.211,0.079,0.94,5.706
120,SiC-SiC,BN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.25,0.01,0.975,0.216,0.078,0.858,6.023
121,SiC-SiC,BN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.5,0.01,0.975,0.219,0.08,0.918,5.947
122,SiC-SiC,BN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.25,0.01,0.95,0.212,0.078,1.221,1.412
123,SiC-SiC,BN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.5,0.01,0.95,0.21,0.077,1.207,1.571
124,SiC-SiC,BN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.25,0.01,0.975,0.208,0.078,0.929,1.438
125,SiC-SiC,BN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.5,0.01,0.975,0.163,0.046,0.819,0.192
126,SiC-SiC,BN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.25,0.025,0.95,0.239,0.09,1.211,4.944
127,SiC-SiC,BN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.5,0.025,0.95,0.236,0.09,1.1,5.695
128,SiC-SiC,BN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.25,0.025,0.975,0.25,0.091,1.116,4.995
129,SiC-SiC,BN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.5,0.025,0.975,0.248,0.091,1.125,5.54
130,SiC-SiC,MgO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.25,0.01,0.95,0.005,0.0,0.015,0.0
131,SiC-SiC,MgO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.5,0.01,0.975,0.012,0.0,0.037,0.0
132,SiC-SiC,MgO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.25,0.01,0.95,0.006,0.0,0.014,0.0
133,SiC-SiC,MgO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.5,0.01,0.95,0.005,0.0,0.021,0.0
134,SiC-SiC,MgO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.25,0.01,0.975,0.005,0.0,0.018,0.0
135,SiC-SiC,MgO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.5,0.01,0.975,0.005,0.0,0.012,0.0
136,SiC-SiC,MgO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.25,0.025,0.95,0.004,0.0,0.012,0.0
137,SiC-SiC,MgO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.5,0.025,0.95,0.004,0.0,0.016,0.0
138,SiC-SiC,MgO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.25,0.025,0.975,0.004,0.0,0.013,0.0
139,SiC-SiC,MgO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.5,0.025,0.975,0.005,0.0,0.028,0.0
140,SiC-SiC,BeO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.25,0.01,0.95,0.077,0.018,0.766,1.306
141,SiC-SiC,BeO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.5,0.01,0.95,0.075,0.018,0.729,1.322
142,SiC-SiC,BeO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.25,0.01,0.975,0.071,0.018,0.517,1.485
143,SiC-SiC,BeO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.5,0.01,0.975,0.071,0.018,0.562,1.374
144,SiC-SiC,BeO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.25,0.01,0.95,0.079,0.018,0.987,0.791
145,SiC-SiC,BeO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.5,0.01,0.95,0.077,0.018,0.97,0.776
146,SiC-SiC,BeO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.25,0.01,0.975,0.074,0.018,0.877,0.705
147,SiC-SiC,BeO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.5,0.01,0.975,0.075,0.018,0.922,0.641
148,SiC-SiC,BeO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.25,0.025,0.95,0.099,0.023,0.988,1.578
149,SiC-SiC,BeO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.5,0.025,0.95,0.096,0.023,0.95,1.577
150,SiC-SiC,BeO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.25,0.025,0.975,0.094,0.023,0.707,1.616
151,SiC-SiC,BeO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.5,0.025,0.975,0.093,0.023,0.777,1.562
152,SiC-SiC,Ox-Ox,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.25,0.01,0.95,0.318,0.28,7.46,0.306
153,SiC-SiC,Ox-Ox,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.5,0.01,0.95,0.311,0.267,4.946,0.288
154,SiC-SiC,Ox-Ox,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.25,0.01,0.975,0.353,0.295,7.66,0.336
155,SiC-SiC,Ox-Ox,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.5,0.01,0.975,0.321,0.282,5.561,0.316
156,SiC-SiC,Ox-Ox,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.25,0.01,0.95,0.277,0.295,5.309,0.361
157,SiC-SiC,Ox-Ox,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.5,0.01,0.95,0.27,0.281,5.918,0.346
158,SiC-SiC,Ox-Ox,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.25,0.01,0.975,0.3,0.303,4.799,0.354
159,SiC-SiC,Ox-Ox,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.5,0.01,0.975,0.282,0.291,5.679,0.353
160,SiC-SiC,Ox-Ox,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.25,0.025,0.95,0.485,0.467,6.238,0.43
161,SiC-SiC,Ox-Ox,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.5,0.025,0.95,0.448,0.433,5.213,0.415
162,SiC-SiC,Ox-Ox,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.25,0.025,0.975,0.59,0.525,5.033,0.533
163,SiC-SiC,Ox-Ox,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.5,0.025,0.975,0.486,0.466,4.748,0.443
164,C-SiC,Alumina,80.0,32.0,3.0,13.0,4.642857142857143e-06,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.25,0.01,0.95,0.099,0.106,1.579,0.124
165,C-SiC,Alumina,80.0,32.0,3.0,13.0,4.642857142857143e-06,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.5,0.01,0.95,0.098,0.105,1.829,0.124
166,C-SiC,Alumina,80.0,32.0,3.0,13.0,4.642857142857143e-06,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.25,0.01,0.975,0.085,0.094,1.397,0.119
167,C-SiC,Alumina,80.0,32.0,3.0,13.0,4.642857142857143e-06,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.5,0.01,0.975,0.085,0.092,1.419,0.117
168,C-SiC,Alumina,80.0,32.0,3.0,13.0,4.642857142857143e-06,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.25,0.01,0.95,0.051,0.072,0.238,0.026
169,C-SiC,Alumina,80.0,32.0,3.0,13.0,4.642857142857143e-06,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.5,0.01,0.95,0.051,0.075,0.24,0.028
170,C-SiC,Alumina,80.0,32.0,3.0,13.0,4.642857142857143e-06,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.25,0.01,0.975,0.04,0.055,0.181,0.027
171,C-SiC,Alumina,80.0,32.0,3.0,13.0,4.642857142857143e-06,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.5,0.01,0.975,0.04,0.055,0.167,0.025
172,C-SiC,Alumina,80.0,32.0,3.0,13.0,4.642857142857143e-06,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.25,0.025,0.95,0.117,0.125,2.159,0.142
173,C-SiC,Alumina,80.0,32.0,3.0,13.0,4.642857142857143e-06,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.5,0.025,0.95,0.115,0.124,2.731,0.135
174,C-SiC,Alumina,80.0,32.0,3.0,13.0,4.642857142857143e-06,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.25,0.025,0.975,0.1,0.11,1.813,0.129
175,C-SiC,Alumina,80.0,32.0,3.0,13.0,4.642857142857143e-06,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.1,0.5,0.025,0.975,0.1,0.106,1.988,0.126
176,C-SiC,SCFS,80.0,32.0,3.0,13.0,4.642857142857143e-06,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.25,0.01,0.95,1.175,0.796,19.772,0.1
177,C-SiC,SCFS,80.0,32.0,3.0,13.0,4.642857142857143e-06,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.5,0.01,0.95,1.201,0.733,15.68,0.097
178,C-SiC,SCFS,80.0,32.0,3.0,13.0,4.642857142857143e-06,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.25,0.01,0.975,1.131,0.739,11.269,0.098
179,C-SiC,SCFS,80.0,32.0,3.0,13.0,4.642857142857143e-06,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.5,0.01,0.975,1.154,0.804,9.307,0.102
180,C-SiC,SCFS,80.0,32.0,3.0,13.0,4.642857142857143e-06,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.25,0.01,0.95,1.23,0.947,20.531,0.129
181,C-SiC,SCFS,80.0,32.0,3.0,13.0,4.642857142857143e-06,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.5,0.01,0.95,1.217,0.861,22.879,0.125
182,C-SiC,SCFS,80.0,32.0,3.0,13.0,4.642857142857143e-06,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.25,0.01,0.975,1.273,0.863,17.851,0.124
183,C-SiC,SCFS,80.0,32.0,3.0,13.0,4.642857142857143e-06,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.5,0.01,0.975,1.24,0.91,20.11,0.127
184,C-SiC,SCFS,80.0,32.0,3.0,13.0,4.642857142857143e-06,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.25,0.025,0.95,1.351,0.911,25.548,0.115
185,C-SiC,SCFS,80.0,32.0,3.0,13.0,4.642857142857143e-06,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.5,0.025,0.95,1.396,0.865,20.481,0.118
186,C-SiC,SCFS,80.0,32.0,3.0,13.0,4.642857142857143e-06,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.25,0.025,0.975,1.281,0.833,11.531,0.115
187,C-SiC,SCFS,80.0,32.0,3.0,13.0,4.642857142857143e-06,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.1,0.5,0.025,0.975,1.312,0.895,10.716,0.118
188,C-SiC,RBSN,80.0,32.0,3.0,13.0,4.642857142857143e-06,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.25,0.01,0.95,0.422,0.143,9.03,0.206
189,C-SiC,RBSN,80.0,32.0,3.0,13.0,4.642857142857143e-06,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.5,0.01,0.95,0.412,0.142,9.294,0.198
190,C-SiC,RBSN,80.0,32.0,3.0,13.0,4.642857142857143e-06,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.25,0.01,0.975,0.404,0.137,13.737,0.213
191,C-SiC,RBSN,80.0,32.0,3.0,13.0,4.642857142857143e-06,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.5,0.01,0.975,0.4,0.136,9.188,0.211
192,C-SiC,RBSN,80.0,32.0,3.0,13.0,4.642857142857143e-06,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.25,0.01,0.95,0.41,0.152,13.441,0.294
193,C-SiC,RBSN,80.0,32.0,3.0,13.0,4.642857142857143e-06,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.5,0.01,0.95,0.401,0.15,18.662,0.29
194,C-SiC,RBSN,80.0,32.0,3.0,13.0,4.642857142857143e-06,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.25,0.01,0.975,0.379,0.141,10.589,0.251
195,C-SiC,RBSN,80.0,32.0,3.0,13.0,4.642857142857143e-06,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.5,0.01,0.975,0.373,0.139,15.022,0.261
196,C-SiC,RBSN,80.0,32.0,3.0,13.0,4.642857142857143e-06,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.25,0.025,0.95,0.472,0.164,9.856,0.233
197,C-SiC,RBSN,80.0,32.0,3.0,13.0,4.642857142857143e-06,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.5,0.025,0.95,0.462,0.162,11.344,0.23
198,C-SiC,RBSN,80.0,32.0,3.0,13.0,4.642857142857143e-06,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.25,0.025,0.975,0.454,0.156,13.497,0.236
199,C-SiC,RBSN,80.0,32.0,3.0,13.0,4.642857142857143e-06,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.1,0.5,0.025,0.975,0.445,0.152,10.041,0.237
200,C-SiC,BN,80.0,32.0,3.0,13.0,4.642857142857143e-06,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.25,0.01,0.95,0.395,0.083,2.006,5.845
201,C-SiC,BN,80.0,32.0,3.0,13.0,4.642857142857143e-06,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.5,0.01,0.95,0.388,0.084,1.843,6.052
202,C-SiC,BN,80.0,32.0,3.0,13.0,4.642857142857143e-06,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.25,0.01,0.975,0.354,0.084,1.485,6.599
203,C-SiC,BN,80.0,32.0,3.0,13.0,4.642857142857143e-06,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.5,0.01,0.975,0.365,0.083,1.525,6.223
204,C-SiC,BN,80.0,32.0,3.0,13.0,4.642857142857143e-06,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.25,0.01,0.95,0.447,0.082,2.254,1.943
205,C-SiC,BN,80.0,32.0,3.0,13.0,4.642857142857143e-06,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.5,0.01,0.95,0.451,0.082,2.24,2.105
206,C-SiC,BN,80.0,32.0,3.0,13.0,4.642857142857143e-06,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.25,0.01,0.975,0.36,0.082,1.67,1.79
207,C-SiC,BN,80.0,32.0,3.0,13.0,4.642857142857143e-06,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.5,0.01,0.975,0.222,0.048,1.237,0.196
208,C-SiC,BN,80.0,32.0,3.0,13.0,4.642857142857143e-06,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.25,0.025,0.95,0.48,0.097,2.381,5.461
209,C-SiC,BN,80.0,32.0,3.0,13.0,4.642857142857143e-06,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.5,0.025,0.95,0.49,0.097,2.262,6.241
210,C-SiC,BN,80.0,32.0,3.0,13.0,4.642857142857143e-06,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.25,0.025,0.975,0.403,0.096,1.844,5.557
211,C-SiC,BN,80.0,32.0,3.0,13.0,4.642857142857143e-06,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.1,0.5,0.025,0.975,0.437,0.097,2.072,6.202
212,C-SiC,MgO,80.0,32.0,3.0,13.0,4.642857142857143e-06,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.25,0.01,0.95,0.009,0.001,0.034,0.0
213,C-SiC,MgO,80.0,32.0,3.0,13.0,4.642857142857143e-06,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.5,0.01,0.95,0.005,0.0,0.018,0.0
214,C-SiC,MgO,80.0,32.0,3.0,13.0,4.642857142857143e-06,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.25,0.01,0.975,0.005,0.0,0.022,0.0
215,C-SiC,MgO,80.0,32.0,3.0,13.0,4.642857142857143e-06,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.5,0.01,0.975,0.011,0.0,0.049,0.0
216,C-SiC,MgO,80.0,32.0,3.0,13.0,4.642857142857143e-06,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.25,0.01,0.95,0.016,0.001,0.072,0.0
217,C-SiC,MgO,80.0,32.0,3.0,13.0,4.642857142857143e-06,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.5,0.01,0.95,0.015,0.001,0.061,0.0
218,C-SiC,MgO,80.0,32.0,3.0,13.0,4.642857142857143e-06,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.25,0.01,0.975,0.01,0.001,0.043,0.0
219,C-SiC,MgO,80.0,32.0,3.0,13.0,4.642857142857143e-06,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.5,0.01,0.975,0.015,0.001,0.068,0.0
220,C-SiC,MgO,80.0,32.0,3.0,13.0,4.642857142857143e-06,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.25,0.025,0.95,0.011,0.001,0.052,0.0
221,C-SiC,MgO,80.0,32.0,3.0,13.0,4.642857142857143e-06,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.5,0.025,0.95,0.005,0.0,0.023,0.0
222,C-SiC,MgO,80.0,32.0,3.0,13.0,4.642857142857143e-06,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.25,0.025,0.975,0.005,0.0,0.024,0.0
223,C-SiC,MgO,80.0,32.0,3.0,13.0,4.642857142857143e-06,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.1,0.5,0.025,0.975,0.006,0.0,0.034,0.0
224,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.25,0.01,0.95,0.103,0.021,1.625,0.109
225,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.5,0.01,0.95,0.102,0.021,1.863,0.11
226,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.25,0.01,0.975,0.088,0.019,1.474,0.105
227,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.5,0.01,0.975,0.088,0.018,1.471,0.104
228,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.25,0.01,0.95,0.054,0.014,0.287,0.027
229,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.5,0.01,0.95,0.054,0.015,0.29,0.028
230,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.25,0.01,0.975,0.086,0.019,2.299,0.117
231,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.5,0.01,0.975,0.042,0.011,0.193,0.026
232,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.25,0.025,0.95,0.136,0.028,2.311,0.131
233,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.5,0.025,0.95,0.134,0.027,2.879,0.126
234,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.25,0.025,0.975,0.116,0.024,2.023,0.121
235,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.5,0.025,0.975,0.116,0.023,2.152,0.12
236,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.25,0.01,0.95,1.055,0.416,28.484,0.602
237,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.5,0.01,0.95,1.02,0.407,23.479,0.551
238,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.25,0.01,0.975,1.142,0.424,76.711,0.66
239,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.5,0.01,0.975,1.053,0.422,24.834,0.62
240,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.25,0.01,0.95,0.994,0.427,31.121,0.819
241,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.5,0.01,0.95,0.986,0.422,30.537,0.77
